sample_time,data_(t+h),data_(t),data_([t+h]-[t]),log_data
1340,108.0179,99.2267,8.7912,2.17375122115
1350,108.3435,99.7151,8.6284,2.15505908814
1360,108.6691,100.0407,8.6284,2.15505908814
1370,109.1575,100.3663,8.7912,2.17375122115
1380,109.4831,100.5291,8.954,2.19210035982
1390,109.8087,100.8547,8.954,2.19210035982
1400,109.9715,101.3431,8.6284,2.15505908814
1410,110.1343,101.8315,8.3028,2.11659280731
1420,110.297133333,102.1571,8.14003333333,2.09679427501
1430,110.622766667,102.4827,8.14006666667,2.09679836999
1440,110.9484,102.6455,8.3029,2.11660485137
1450,111.4368,102.8083,8.6285,2.15507067771
1460,111.5996,103.1339,8.4657,2.13602270561
1470,111.9252,103.6223,8.3029,2.11660485137
1480,112.088,104.1107,7.9773,2.07660000835
1490,112.4136,104.4363,7.9773,2.07660000835
1500,112.7392,104.5991,8.1401,2.09680246495
1510,112.7392,104.9247,7.8145,2.0559809823
1520,113.0648,104.9247,8.1401,2.09680246495
1530,113.2276,105.2503,7.9773,2.07660000835
1540,113.716,105.4131,8.3029,2.11660485137
1550,113.8788,105.9015,7.9773,2.07660000835
1560,114.2044,106.2271,7.9773,2.07660000835
1570,114.3672,106.5527,7.8145,2.0559809823
1580,114.53,106.7155,7.8145,2.0559809823
1590,114.8556,107.0411,7.8145,2.0559809823
1600,115.1812,107.3667,7.8145,2.0559809823
1610,115.5068,107.6923,7.8145,2.0559809823
1620,115.5068,107.8551,7.6517,2.03492784537
1630,115.6696,108.0179,7.6517,2.03492784537
1640,115.8324,108.3435,7.4889,2.01342192426
1650,116.158,108.6691,7.4889,2.01342192426
1660,116.4836,109.1575,7.3261,1.99144331428
1670,116.8092,109.4831,7.3261,1.99144331428
1680,117.1348,109.8087,7.3261,1.99144331428
1690,117.1348,109.9715,7.1633,1.96897076865
1700,117.2976,110.1343,7.1633,1.96897076865
1710,117.2976,110.297133333,7.00046666667,1.9459768135
1720,117.6232,110.622766667,7.00043333333,1.9459720519
