sample_time,data_(t+h),data_(t),data_([t+h]-[t]),log_data
200,59.9919,39.3163,20.6756,3.02895426104
210,60.6431,40.1303,20.5128,3.02104908154
220,61.1315,41.1071,20.0244,2.99695152996
230,61.9455,42.2467,19.6988,2.98055772018
240,62.5967,42.8979,19.6988,2.98055772018
250,63.0851,43.7119,19.3732,2.9638906677
260,63.5735,44.3631,19.2104,2.95545179905
270,64.0619,45.3399,18.722,2.92969930295
280,64.7131,45.9911,18.722,2.92969930295
290,65.2015,46.6423,18.5592,2.92096562298
300,65.8527,47.2935,18.5592,2.92096562298
310,66.3411,47.7819,18.5592,2.92096562298
320,66.9923,48.7587,18.2336,2.90326604588
330,67.4807,49.4099,18.0708,2.8942973759
340,68.1319,50.2239,17.908,2.88524754038
350,68.6203,50.7123,17.908,2.88524754038
360,69.1087,51.2007,17.908,2.88524754038
370,69.7599,52.0147,17.7452,2.87611505682
380,70.2483,52.6659,17.5824,2.86689840171
390,70.7367,53.4799,17.2568,2.8482062687
400,71.0623,54.1311,16.9312,2.82915807373
410,71.5507,54.9451,16.6056,2.80973998787
420,72.0391,55.5963,16.4428,2.79988769143
430,72.5275,56.0847,16.4428,2.79988769143
440,73.0159,56.2475,16.7684,2.81949616282
450,73.5043,56.8987,16.6056,2.80973998787
460,74.1555,57.5499,16.6056,2.80973998787
470,74.9695,58.3639,16.6056,2.80973998787
480,75.6207,58.8523,16.7684,2.81949616282
490,75.9463,59.5035,16.4428,2.79988769143
500,76.1091,59.9919,16.1172,2.77988702472
510,76.5975,60.6431,15.9544,2.76973465326
520,76.9231,61.1315,15.7916,2.75947815309
530,77.4115,61.9455,15.466,2.73864406619
540,77.8999,62.5967,15.3032,2.72806195686
550,78.5511,63.0851,15.466,2.73864406619
560,79.2023,63.5735,15.6288,2.74911536605
570,79.6907,64.0619,15.6288,2.74911536605
580,80.1791,64.7131,15.466,2.73864406619
590,80.6675,65.2015,15.466,2.73864406619
600,81.1559,65.8527,15.3032,2.72806195686
610,81.6443,66.3411,15.3032,2.72806195686
620,81.9699,66.9923,14.9776,2.70655575164
630,82.4583,67.4807,14.9776,2.70655575164
640,82.9467,68.1319,14.8148,2.6956266811
650,83.4351,68.6203,14.8148,2.6956266811
660,83.9235,69.1087,14.8148,2.6956266811
670,84.4119,69.7599,14.652,2.68457684492
680,84.9003,70.2483,14.652,2.68457684492
690,85.2259,70.7367,14.4892,2.67340354432
700,85.7143,71.0623,14.652,2.68457684492
710,86.2027,71.5507,14.652,2.68457684492
720,86.8539,72.0391,14.8148,2.6956266811
730,87.3423,72.5275,14.8148,2.6956266811
740,87.8307,73.0159,14.8148,2.6956266811
