sample_time,data_(t+h),data_(t),data_([t+h]-[t]),log_data
750,88.1563,73.5043,14.652,2.68457684492
760,88.4819,74.1555,14.3264,2.66210398906
770,88.8075,74.9695,13.838,2.62741843108
780,89.1331,75.6207,13.5124,2.60360778238
790,89.6215,75.9463,13.6752,2.61558397343
800,89.9471,76.1091,13.838,2.62741843108
810,90.2727,76.5975,13.6752,2.61558397343
820,90.5983,76.9231,13.6752,2.61558397343
830,91.0867,77.4115,13.6752,2.61558397343
840,91.5751,77.8999,13.6752,2.61558397343
850,92.0635,78.5511,13.5124,2.60360778238
860,92.2263,79.2023,13.024,2.56679380926
870,92.7147,79.6907,13.024,2.56679380926
880,93.0403,80.1791,12.8612,2.55421502705
890,93.6915,80.6675,13.024,2.56679380926
900,93.8543,81.1559,12.6984,2.54147600128
910,94.3427,81.6443,12.6984,2.54147600128
920,94.6683,81.9699,12.6984,2.54147600128
930,95.1567,82.4583,12.6984,2.54147600128
940,95.6451,82.9467,12.6984,2.54147600128
950,96.1335,83.4351,12.6984,2.54147600128
960,96.4591,83.9235,12.5356,2.52857259644
970,96.6219,84.4119,12.21,2.50225528812
980,96.9475,84.9003,12.0472,2.48883226779
990,97.4359,85.2259,12.21,2.50225528812
1000,97.9243,85.7143,12.21,2.50225528812
1010,98.2499,86.2027,12.0472,2.48883226779
1020,98.5755,86.8539,11.7216,2.4614332936
1030,98.9011,87.3423,11.5588,2.44744705163
1040,99.2267,87.8307,11.396,2.43326241664
1050,99.7151,88.1563,11.5588,2.44744705163
1060,100.0407,88.4819,11.5588,2.44744705163
1070,100.3663,88.8075,11.5588,2.44744705163
1080,100.5291,89.1331,11.396,2.43326241664
1090,100.8547,89.6215,11.2332,2.41887367918
1100,101.3431,89.9471,11.396,2.43326241664
1110,101.8315,90.2727,11.5588,2.44744705163
1120,102.1571,90.5983,11.5588,2.44744705163
1130,102.4827,91.0867,11.396,2.43326241664
1140,102.6455,91.5751,11.0704,2.40427487976
1150,102.8083,92.0635,10.7448,2.37442191661
1160,103.1339,92.2263,10.9076,2.38945979398
1170,103.6223,92.7147,10.9076,2.38945979398
1180,104.1107,93.0403,11.0704,2.40427487976
1190,104.4363,93.6915,10.7448,2.37442191661
1200,104.5991,93.8543,10.7448,2.37442191661
1210,104.9247,94.3427,10.582,2.35915444448
1220,104.9247,94.6683,10.2564,2.32790190098
1230,105.2503,95.1567,10.0936,2.31190155963
1240,105.4131,95.6451,9.768,2.27911173681
1250,105.9015,96.1335,9.768,2.27911173681
1260,106.2271,96.4591,9.768,2.27911173681
1270,106.5527,96.6219,9.9308,2.29564103876
1280,106.7155,96.9475,9.768,2.27911173681
1290,107.0411,97.4359,9.6052,2.26230461849
1300,107.3667,97.9243,9.4424,2.24521018513
1310,107.6923,98.2499,9.4424,2.24521018513
1320,107.8551,98.5755,9.2796,2.22781844242
1330,108.0179,98.9011,9.1168,2.21011886532
1340,108.3435,99.2267,9.1168,2.21011886532
1350,108.6691,99.7151,8.954,2.19210035982
1360,109.1575,100.0407,9.1168,2.21011886532
1370,109.4831,100.3663,9.1168,2.21011886532
1380,109.8087,100.5291,9.2796,2.22781844242
1390,109.9715,100.8547,9.1168,2.21011886532
1400,110.1343,101.3431,8.7912,2.17375122115
1410,110.297133333,101.8315,8.46563333333,2.13601483066
1420,110.622766667,102.1571,8.46566666667,2.13601876814
1430,110.9484,102.4827,8.4657,2.13602270561
1440,111.4368,102.6455,8.7913,2.1737625961
1450,111.5996,102.8083,8.7913,2.1737625961
1460,111.9252,103.1339,8.7913,2.1737625961
1470,112.088,103.6223,8.4657,2.13602270561
1480,112.4136,104.1107,8.3029,2.11660485137
1490,112.7392,104.4363,8.3029,2.11660485137
1500,112.7392,104.5991,8.1401,2.09680246495
1510,113.0648,104.9247,8.1401,2.09680246495
1520,113.2276,104.9247,8.3029,2.11660485137
1530,113.716,105.2503,8.4657,2.13602270561
1540,113.8788,105.4131,8.4657,2.13602270561
1550,114.2044,105.9015,8.3029,2.11660485137
1560,114.3672,106.2271,8.1401,2.09680246495
1570,114.53,106.5527,7.9773,2.07660000835
1580,114.8556,106.7155,8.1401,2.09680246495
1590,115.1812,107.0411,8.1401,2.09680246495
1600,115.5068,107.3667,8.1401,2.09680246495
1610,115.5068,107.6923,7.8145,2.0559809823
1620,115.6696,107.8551,7.8145,2.0559809823
1630,115.8324,108.0179,7.8145,2.0559809823
1640,116.158,108.3435,7.8145,2.0559809823
1650,116.4836,108.6691,7.8145,2.0559809823
1660,116.8092,109.1575,7.6517,2.03492784537
1670,117.1348,109.4831,7.6517,2.03492784537
1680,117.1348,109.8087,7.3261,1.99144331428
1690,117.2976,109.9715,7.3261,1.99144331428
1700,117.2976,110.1343,7.1633,1.96897076865
1710,117.6232,110.297133333,7.32606666667,1.99143876432
