time[s],data(t-1)[degree],data(t),data(t+1),Average
6220,149.6948,149.6948,149.6948,149.6948
6230,149.6948,149.6948,149.6948,149.6948
6240,149.6948,149.6948,149.6948,149.6948
6250,149.2064,149.6948,149.6948,149.532
6260,150.1832,149.2064,149.6948,149.6948
6270,149.6948,150.1832,149.2064,149.6948
6280,149.6948,149.6948,150.1832,149.8576
6290,149.6948,149.6948,149.6948,149.6948
6300,149.2064,149.6948,149.6948,149.532
6310,149.6948,149.2064,149.6948,149.532
6320,149.6948,149.6948,149.2064,149.532
6330,149.6948,149.6948,149.6948,149.6948
6340,149.6948,149.6948,149.6948,149.6948
6350,149.6948,149.6948,149.6948,149.6948
6360,149.6948,149.6948,149.6948,149.6948
6370,149.2064,149.6948,149.6948,149.532
6380,150.1832,149.2064,149.6948,149.6948
6390,149.6948,150.1832,149.2064,149.6948
6400,149.6948,149.6948,150.1832,149.8576
6410,150.1832,149.6948,149.6948,149.8576
6420,149.6948,150.1832,149.6948,149.8576
6430,150.1832,149.6948,150.1832,150.0204
6440,150.1832,150.1832,149.6948,150.0204
6450,149.6948,150.1832,150.1832,150.0204
6460,149.6948,149.6948,150.1832,149.8576
6470,150.1832,149.6948,149.6948,149.8576
6480,149.6948,150.1832,149.6948,149.8576
6490,150.1832,149.6948,150.1832,150.0204
6500,150.1832,150.1832,149.6948,150.0204
6510,150.1832,150.1832,150.1832,150.1832
6520,150.1832,150.1832,150.1832,150.1832
6530,149.6948,150.1832,150.1832,150.0204
6540,150.1832,149.6948,150.1832,150.0204
6550,150.1832,150.1832,149.6948,150.0204
6560,149.6948,150.1832,150.1832,150.0204
6570,150.1832,149.6948,150.1832,150.0204
6580,150.1832,150.1832,149.6948,150.0204
6590,150.1832,150.1832,150.1832,150.1832
6600,150.1832,150.1832,150.1832,150.1832
6610,149.6948,150.1832,150.1832,150.0204
6620,150.6716,149.6948,150.1832,150.1832
6630,150.1832,150.6716,149.6948,150.1832
6640,150.1832,150.1832,150.6716,150.346
6650,150.1832,150.1832,150.1832,150.1832
6660,150.1832,150.1832,150.1832,150.1832
6670,150.1832,150.1832,150.1832,150.1832
6680,150.6716,150.1832,150.1832,150.346
6690,150.1832,150.6716,150.1832,150.346
6700,150.6716,150.1832,150.6716,150.5088
6710,150.1832,150.6716,150.1832,150.346
6720,150.6716,150.1832,150.6716,150.5088
6730,150.6716,150.6716,150.1832,150.5088
6740,150.6716,150.6716,150.6716,150.6716
6750,150.1832,150.6716,150.6716,150.5088
6760,150.6716,150.1832,150.6716,150.5088
6770,150.6716,150.6716,150.1832,150.5088
6780,150.6716,150.6716,150.6716,150.6716
6790,150.6716,150.6716,150.6716,150.6716
6800,150.6716,150.6716,150.6716,150.6716
6810,150.1832,150.6716,150.6716,150.5088
6820,150.6716,150.1832,150.6716,150.5088
6830,150.1832,150.6716,150.1832,150.346
6840,150.6716,150.1832,150.6716,150.5088
6850,150.6716,150.6716,150.1832,150.5088
6860,150.6716,150.6716,150.6716,150.6716
6870,150.6716,150.6716,150.6716,150.6716
6880,150.1832,150.6716,150.6716,150.5088
6890,150.6716,150.1832,150.6716,150.5088
6900,150.6716,150.6716,150.1832,150.5088
6910,151.16,150.6716,150.6716,150.8344
6920,150.6716,151.16,150.6716,150.8344
6930,150.1832,150.6716,151.16,150.6716
6940,151.16,150.1832,150.6716,150.6716
6950,150.1832,151.16,150.1832,150.5088
6960,150.6716,150.1832,151.16,150.6716
6970,150.6716,150.6716,150.1832,150.5088
6980,151.16,150.6716,150.6716,150.8344
6990,151.16,151.16,150.6716,150.9972
7000,150.6716,151.16,151.16,150.9972
7010,150.6716,150.6716,151.16,150.8344
7020,151.16,150.6716,150.6716,150.8344
7030,150.6716,151.16,150.6716,150.8344
7040,150.6716,150.6716,151.16,150.8344
7050,150.6716,150.6716,150.6716,150.6716
7060,150.6716,150.6716,150.6716,150.6716
7070,150.6716,150.6716,150.6716,150.6716
7080,150.6716,150.6716,150.6716,150.6716
7090,150.6716,150.6716,150.6716,150.6716
7100,150.6716,150.6716,150.6716,150.6716
7110,150.6716,150.6716,150.6716,150.6716
7120,150.6716,150.6716,150.6716,150.6716
7130,151.16,150.6716,150.6716,150.8344
7140,151.16,151.16,150.6716,150.9972
7150,150.6716,151.16,151.16,150.9972
7160,150.6716,150.6716,151.16,150.8344
7170,150.6716,150.6716,150.6716,150.6716
7180,150.6716,150.6716,150.6716,150.6716
7190,150.6716,150.6716,150.6716,150.6716
7200,150.6716,150.6716,150.6716,150.6716
7210,151.16,150.6716,150.6716,150.8344
7220,151.16,151.16,150.6716,150.9972
7230,150.1832,151.16,151.16,150.8344
7240,151.16,150.1832,151.16,150.8344
7250,151.16,151.16,150.1832,150.8344
7260,150.6716,151.16,151.16,150.9972
7270,151.16,150.6716,151.16,150.9972
7280,151.16,151.16,150.6716,150.9972
7290,151.16,151.16,151.16,151.16
7300,150.6716,151.16,151.16,150.9972
7310,151.16,150.6716,151.16,150.9972
7320,150.6716,151.16,150.6716,150.8344
7330,151.16,150.6716,151.16,150.9972
7340,151.16,151.16,150.6716,150.9972
