time[s],data(t-1)[degree],data(t),data(t+1),Average
1250,96.4591,96.4591,95.4823,96.1335
1260,96.4591,96.4591,96.4591,96.4591
1270,96.9475,96.4591,96.4591,96.6219
1280,97.4359,96.9475,96.4591,96.9475
1290,97.9243,97.4359,96.9475,97.4359
1300,98.4127,97.9243,97.4359,97.9243
1310,98.4127,98.4127,97.9243,98.2499
1320,98.9011,98.4127,98.4127,98.5755
1330,99.3895,98.9011,98.4127,98.9011
1340,99.3895,99.3895,98.9011,99.2267
1350,100.3663,99.3895,99.3895,99.7151
1360,100.3663,100.3663,99.3895,100.0407
1370,100.3663,100.3663,100.3663,100.3663
1380,100.8547,100.3663,100.3663,100.5291
1390,101.3431,100.8547,100.3663,100.8547
1400,101.8315,101.3431,100.8547,101.3431
1410,102.3199,101.8315,101.3431,101.8315
1420,102.3199,102.3199,101.8315,102.1571
1430,102.8083,102.3199,102.3199,102.4827
1440,102.8083,102.8083,102.3199,102.6455
1450,102.8083,102.8083,102.8083,102.8083
1460,103.7851,102.8083,102.8083,103.1339
1470,104.2735,103.7851,102.8083,103.6223
1480,104.2735,104.2735,103.7851,104.1107
1490,104.7619,104.2735,104.2735,104.4363
1500,104.7619,104.7619,104.2735,104.5991
1510,105.2503,104.7619,104.7619,104.9247
1520,104.7619,105.2503,104.7619,104.9247
1530,105.7387,104.7619,105.2503,105.2503
1540,105.7387,105.7387,104.7619,105.4131
1550,106.2271,105.7387,105.7387,105.9015
1560,106.7155,106.2271,105.7387,106.2271
1570,106.7155,106.7155,106.2271,106.5527
1580,106.7155,106.7155,106.7155,106.7155
1590,107.6923,106.7155,106.7155,107.0411
1600,107.6923,107.6923,106.7155,107.3667
1610,107.6923,107.6923,107.6923,107.6923
1620,108.1807,107.6923,107.6923,107.8551
1630,108.1807,108.1807,107.6923,108.0179
1640,108.6691,108.1807,108.1807,108.3435
1650,109.1575,108.6691,108.1807,108.6691
1660,109.6459,109.1575,108.6691,109.1575
1670,109.6459,109.6459,109.1575,109.4831
1680,110.1343,109.6459,109.6459,109.8087
1690,110.1343,110.1343,109.6459,109.9715
1700,110.1343,110.1343,110.1343,110.1343
1710,110.6228,110.1343,110.1343,110.297133333
1720,111.1112,110.6228,110.1343,110.622766667
1730,111.1112,111.1112,110.6228,110.9484
1740,112.088,111.1112,111.1112,111.4368
1750,111.5996,112.088,111.1112,111.5996
1760,112.088,111.5996,112.088,111.9252
1770,112.5764,112.088,111.5996,112.088
1780,112.5764,112.5764,112.088,112.4136
1790,113.0648,112.5764,112.5764,112.7392
1800,112.5764,113.0648,112.5764,112.7392
1810,113.5532,112.5764,113.0648,113.0648
1820,113.5532,113.5532,112.5764,113.2276
1830,114.0416,113.5532,113.5532,113.716
1840,114.0416,114.0416,113.5532,113.8788
1850,114.53,114.0416,114.0416,114.2044
1860,114.53,114.53,114.0416,114.3672
1870,114.53,114.53,114.53,114.53
1880,115.5068,114.53,114.53,114.8556
1890,115.5068,115.5068,114.53,115.1812
1900,115.5068,115.5068,115.5068,115.5068
1910,115.5068,115.5068,115.5068,115.5068
1920,115.9952,115.5068,115.5068,115.6696
1930,115.9952,115.9952,115.5068,115.8324
