0.90,0.396475,0.080257,0.397034,	0.005969,	0.112507
0.91,0.395575,0.071753,0.397011,	0.007610,	-0.090006
0.92,0.396025,0.070557,0.396874,	0.008742,	0.045003
0.93,0.396250,0.065291,0.396835,	0.009921,	0.022501
0.94,0.396250,0.058839,0.396848,	0.010965,	0.000000
0.95,0.397375,0.053337,0.396869,	0.011784,	0.112507
0.96,0.396925,0.040779,0.397062,	0.012677,	-0.045003
0.97,0.396475,0.034546,0.397168,	0.013048,	-0.045003
0.98,0.408401,0.033136,0.397196,	0.013108,	1.192576
0.99,0.396925,-0.052115,0.398990,	0.015914,	-1.147573
1.00,0.397375,-0.031237,0.398843,	0.013258,	0.045003
1.01,0.398050,-0.017436,0.398757,	0.011420,	0.067504
1.02,0.396025,-0.010887,0.398767,	0.010213,	-0.202513
1.03,0.396475,0.009171,0.398462,	0.008762,	0.045003
1.04,0.396475,0.021052,0.398255,	0.008083,	0.000000
1.05,0.397150,0.029769,0.398072,	0.007795,	0.067504
1.06,0.396700,0.031155,0.398013,	0.007948,	-0.045003
1.07,0.397375,0.035086,0.397898,	0.008039,	0.067504
1.08,0.397375,0.032843,0.397901,	0.008411,	0.000000
1.09,0.396700,0.030919,0.397907,	0.008705,	-0.067504
1.10,0.396475,0.034066,0.397815,	0.008775,	-0.022501
1.11,0.396475,0.037680,0.397704,	0.008892,	0.000000
1.12,0.396925,0.039963,0.397610,	0.009122,	0.045003
1.13,0.396925,0.038049,0.397600,	0.009527,	0.000000
1.14,0.397150,0.036308,0.397595,	0.009864,	0.022501
1.15,0.396925,0.033171,0.397628,	0.010192,	-0.022501
1.16,0.396700,0.032290,0.397626,	0.010361,	-0.022501
1.17,0.396475,0.033098,0.397592,	0.010447,	-0.022501
1.18,0.397150,0.035130,0.397531,	0.010504,	0.067504
1.19,0.396925,0.031655,0.397579,	0.010784,	-0.022501
1.20,0.397150,0.030602,0.397590,	0.010895,	0.022501
1.21,0.397150,0.028183,0.397634,	0.011023,	0.000000
1.22,0.396250,0.026420,0.397672,	0.011071,	-0.090006
1.23,0.397150,0.031544,0.397572,	0.010852,	0.090006
1.24,0.397150,0.028862,0.397618,	0.011011,	0.000000
1.25,0.396700,0.026888,0.397659,	0.011081,	-0.045003
