233.000	22.800	4.408
234.000	22.800	4.408
235.000	21.600	4.413
236.000	22.800	4.413
237.000	22.800	4.408
238.000	22.800	4.413
239.000	21.600	4.418
240.000	22.800	4.413
241.000	22.800	4.418
242.000	22.800	4.418
243.000	22.800	4.418
244.000	21.600	4.422
245.000	22.800	4.422
246.000	22.800	4.422
247.000	21.600	4.427
248.000	22.800	4.422
249.000	22.800	4.427
250.000	22.800	4.427
251.000	22.800	4.422
252.000	22.800	4.427
253.000	22.800	4.432
254.000	21.600	4.427
255.000	22.800	4.427
256.000	21.600	4.427
257.000	22.800	4.432
258.000	22.800	4.427
259.000	21.600	4.432
260.000	22.800	4.427
261.000	22.800	4.432
262.000	22.800	4.427
263.000	21.600	4.427
264.000	22.800	4.427
265.000	22.800	4.427
266.000	21.600	4.427
267.000	22.800	4.427
268.000	22.800	4.432
269.000	22.800	4.427
270.000	21.600	4.427
271.000	22.800	4.432
272.000	22.800	4.427
273.000	22.800	4.432
274.000	22.800	4.432
275.000	22.800	4.432
276.000	22.800	4.437
277.000	22.800	4.432
278.000	22.800	4.432
279.000	22.800	4.437
280.000	21.600	4.437
281.000	22.800	4.437
282.000	22.800	4.432
283.000	22.800	4.437
284.000	21.600	4.437
285.000	22.800	4.432
286.000	22.800	4.437
287.000	22.800	4.432
288.000	21.600	4.437
289.000	22.800	4.437
290.000	22.800	4.437
291.000	22.800	4.442
292.000	21.600	4.442
293.000	22.800	4.442
294.000	22.800	4.442
295.000	22.800	4.442
296.000	21.600	4.447
297.000	22.800	4.442
298.000	22.800	4.442
299.000	22.800	4.442
300.000	22.800	4.447
301.000	22.800	4.442
302.000	22.800	4.442
303.000	22.800	4.442
304.000	21.600	4.447
305.000	22.800	4.447
306.000	21.600	4.442
307.000	22.800	4.442
308.000	21.600	4.442
309.000	22.800	4.442
310.000	22.800	4.442
311.000	22.800	4.442
312.000	21.600	4.442
313.000	22.800	4.442
314.000	22.800	4.442
315.000	22.800	4.442
316.000	22.800	4.442
317.000	21.600	4.442
318.000	22.800	4.442
319.000	22.800	4.442
320.000	22.800	4.442
321.000	22.800	4.442
322.000	21.600	4.442
323.000	22.800	4.442
324.000	22.800	4.442
325.000	21.600	4.442
326.000	22.800	4.442
327.000	22.800	4.437
328.000	21.600	4.437
329.000	22.800	4.442
330.000	22.800	4.442
331.000	22.800	4.447
332.000	22.800	4.442
333.000	22.800	4.442
334.000	21.600	4.442
335.000	22.800	4.442
336.000	22.800	4.442
337.000	22.800	4.447
338.000	22.800	4.442
339.000	22.800	4.447
340.000	21.600	4.447
341.000	21.600	4.447
342.000	22.800	4.442
343.000	21.600	4.447
344.000	22.800	4.442
345.000	22.800	4.442
346.000	21.600	4.442
347.000	22.800	4.437
