0,0,0,0,0
10,13.32,13.71238379,13.51114516,13.73461385
20,22.8,23.22674415,22.72191238,23.08531839
30,29.09,29.82829896,29.00104207,29.4514002
40,33.47,34.40879877,33.28162683,33.78551186
50,36.41,37.58698621,36.19977102,36.7362317
60,38.39,39.79217687,38.18911733,38.74512032
70,39.83,41.32225208,39.54528704,40.11279794
80,40.73,42.38389732,40.46980997,41.04393072
90,41.39,43.12052164,41.10007228,41.67785809
100,41.81,43.63162966,41.52973234,42.10944412
110,42.11,43.98626281,41.82263858,42.40327353
120,42.35,44.23232561,42.02231752,42.60331643
130,42.47,44.40305669,42.15844191,42.73950825
140,42.53,44.52151874,42.25124011,42.83222942
150,42.65,44.60371383,42.31450215,42.89535521
160,42.65,44.66074503,42.35762892,42.93833207
170,42.71,44.70031622,42.38702913,42.96759127
180,42.71,44.72777276,42.40707173,42.98751132
190,42.77,44.74682353,42.4207351,43.00107315
200,42.77,44.76004193,42.43004964,43.01030623
210,42.77,44.76921354,42.43639952,43.01659222
220,42.77,44.77557728,42.44072833,43.02087181
230,42.77,44.77999277,42.44367935,43.02378541
240,42.77,44.78305647,42.44569111,43.02576902
250,42.77,44.78518222,42.44706256,43.0271195
260,42.71,44.78665718,42.4479975,43.02803892
270,42.77,44.78768058,42.44863486,43.02866487
280,42.77,44.78839066,42.44906936,43.02909102
290,42.77,44.78888336,42.44936557,43.02938116
300,42.77,44.78922522,42.4495675,43.02957868
310,42.77,44.78946242,42.44970516,43.02971316
320,42.71,44.789627,42.449799,43.02980472
330,42.71,44.78974119,42.44986298,43.02986705
340,42.77,44.78982042,42.44990659,43.02990949
350,42.77,44.7898754,42.44993632,43.02993838
360,42.77,44.78991355,42.44995659,43.02995805
370,42.77,44.78994001,42.44997041,43.02997144
380,42.77,44.78995838,42.44997982,43.02998055
390,42.71,44.78997112,42.44998625,43.02998676
400,42.77,44.78997996,42.44999062,43.02999099
410,42.77,44.7899861,42.44999361,43.02999386
420,42.77,44.78999035,42.44999564,43.02999582
430,42.77,44.78999331,42.44999703,43.02999716
440,42.77,44.78999536,42.44999797,43.02999806
450,42.71,44.78999678,42.44999862,43.02999868
460,42.77,44.78999776,42.44999906,43.0299991
470,42.77,44.78999845,42.44999936,43.02999939
480,42.77,44.78999892,42.44999956,43.02999958
490,42.77,44.78999925,42.4499997,43.02999972
